Job Title,Company Name,Salary Min,Salary Max,Location,Experience Level,Contract Type,Contract Time,Created,Description,Skills,Source Platform,Search Title
Full Stack AI Engineer,Jobot,125000,150000,"Santa Monica, Los Angeles County",,,,2025-11-28T18:13:40Z,"Job Description Job Description NEW Full Stack AI Engineer Opportunity! This Jobot Job is hosted by: Audrey Block Are you a fit? Easy Apply now by clicking the ""Apply Now"" buttonand sending us your resume. Salary: $125,000 - $150,000 per year A bit about us: We are a startup based out of Los Angeles with a focus on AI for attorneys. This is an exciting product that will change the way attorneys practice. We have hired 3 engineers thus far, and are looking to bring on 1-2 before the end of the y…",IT Jobs,Adzuna,AI Engineer
Senior Staff AI Engineer,SonicJobs,146170.42,146170.42,"San Francisco, California",,,,2025-11-25T23:41:30Z,"Job Description Job Description Who we are At SonicJobs we're building the next generation of autonomous web agents based on computer-use technologies. Our agents operate on job application flows, like candidates do. If you've ever dreamed of building AI that actually uses a website, this is your moment. We're a small, tight-knit team with big ambitions, leveraging bleeding-edge tools to build agents that understand and control web environments end-to-end. We move fast, avoid unnecessary hierar…",IT Jobs,Adzuna,AI Engineer
AI Engineer,Suffolk Construction,138929.31,138929.31,"Boston, Thomas County",,,,2025-10-21T19:49:24Z,"Job Description About Suffolk Suffolk is a national enterprise that builds, innovates, and invests. We provide value across the entire project lifecycle through our core construction management services and complementary business lines in real estate investment, design, self-perform construction, and technology start-up investment (Suffolk Technologies). By integrating data, artificial intelligence, and advanced technology through our Seamless Platform, we connect design, construction, and oper…",IT Jobs,Adzuna,AI Engineer
AI Engineer,TECHEAD,98995.48,98995.48,"Richmond, Richmond County",,,,2025-10-03T15:39:11Z,"Job Description TECHEAD is celebrating over thirty-five years of incredible heritage, talent, and accomplishments! To learn more about TECHEAD, visit us at TECHEAD.com or on Glassdoor. AI Engineer Direct - Hire 100% onsite Local Candidates Only Richmond, VA Start Date: November 2025 No C2C Candidates! ESSENTIAL FUNCTIONS 60% Development: Design, develop, and implement AI and machine learning models for a variety of business applications, including data analysis, predictive modeling, and automat…",IT Jobs,Adzuna,AI Engineer
Intern - IT - AI Engineer,Midland States Bank,31200,,"Rockford, Winnebago County",,contract,full_time,2025-11-04T21:49:22Z,"Position Title: Intern - IT - AI Engineer Locations: Rockford_IL Time Type: Full time Req ID: JR1234-Rockford_IL At Midland, we’re proud to be a little different. You can see it in our bright orange signs-but there’s more to it than that. With our heartfelt and personalized approach, we’re focused on meeting every customer’s needs with the brightest solutions. For more than 140 years, we’ve learned by serving customers skillfully with dedication and follow-through, we can brighten every interac…",IT Jobs,Adzuna,AI Engineer
Intern - IT - AI Engineer,Midland States Bank,59632.81,59632.81,"Effingham, Effingham County",,contract,full_time,2025-11-04T21:49:21Z,"Position Title: Intern - IT - AI Engineer Locations: Effingham_IL Time Type: Full time Req ID: JR1234-Effingham_IL At Midland, we’re proud to be a little different. You can see it in our bright orange signs-but there’s more to it than that. With our heartfelt and personalized approach, we’re focused on meeting every customer’s needs with the brightest solutions. For more than 140 years, we’ve learned by serving customers skillfully with dedication and follow-through, we can brighten every inter…",IT Jobs,Adzuna,AI Engineer
Senior AI Engineer-Agentic AI,Navy Federal Credit Union,146051.98,146051.98,"Vienna, Fairfax County",,contract,full_time,2025-11-25T11:49:23Z,"The AI Engineering function in Enterprise Data and Information Management (EDIM) is responsible for delivering AI solutions to drive productivity across Navy Federal Credit Union. The Sr. AI Engineer collaborates with team members in the AI Center for Enablement leading the design and implementation of cutting-edge AI solutions. The role will deliver AI solutions collaborating with stakeholders in Enterprise Technology Services (ETS) and business partners including Enterprise Architecture, Ente…",IT Jobs,Adzuna,AI Engineer
Principal Enterprise AI Engineer,Riot Games,233354.58,233354.58,"Textile Finance, Los Angeles County",,,full_time,2025-11-20T10:44:48Z,"Riot’s Enterprise Technology organization ensures Rioters have what they need to unlock their full potential: from secure, compliant systems to efficient business platforms that keep the company running smoothly. The next frontier is AI and its new capabilities. We aspire to make it better to be a Rioter by empowering Enterprise functions to create seamless experiences via improved processes, systems and data. That’s where you come in. As Principal, Enterprise AI Engineer, you will drive strate…",IT Jobs,Adzuna,AI Engineer
Full Stack AI Engineer,Jobot,130497.95,130497.95,"Santa Monica, Los Angeles County",,,,2025-11-18T00:24:50Z,"NEW Full Stack AI Engineer Opportunity! This Jobot Job is hosted by: Audrey Block Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $125,000 - $150,000 per year A bit about us: We are a startup based out of Los Angeles with a focus on AI for attorneys. This is an exciting product that will change the way attorneys practice. We have hired 3 engineers thus far, and are looking to bring on 1-2 before the end of the year. Be a part of revolutionary…",IT Jobs,Adzuna,AI Engineer
AI Engineer with Security Clearance,"Echelon Services, LLC",138161.39,138161.39,"Manassas, Prince William County",,,,2025-09-26T14:25:35Z,"Echelon Services LLC is a Native Hawaiian-owned 8(a) small business delivering innovative IT, cloud, data analytics, and cybersecurity solutions to federal and commercial clients. Our team thrives on solving complex problems and creating scalable, mission-driven solutions that make a real impact. We are seeking a AI Engineer to join our growing team. This role is perfect for someone who enjoys building scalable systems, experimenting with AI solutions, and collaborating across disciplines to br…",IT Jobs,Adzuna,AI Engineer
